time,radius_max_wind,radius_oci,max_sustained_wind,central_pressure,environmental_pressure,time_step,basin,lat,lon
2020-05-15 06:00:00,50.0,150.0,20.0,1007.0,1007.0,3.0,NI,9.5,87.5
2020-05-15 09:00:00,50.0,150.0,25.0,1005.0,1006.0,3.0,NI,9.5,87.2
2020-05-15 12:00:00,50.0,150.0,30.0,1002.0,1006.0,3.0,NI,9.5,87.0
2020-05-15 15:00:00,50.0,150.0,30.0,1002.0,1006.0,3.0,NI,9.5,86.8
2020-05-15 18:00:00,50.0,150.0,30.0,1001.0,1006.0,3.0,NI,9.5,86.6
2020-05-15 21:00:00,55.0,150.0,33.0,1000.0,1006.0,3.0,NI,9.6,86.5
2020-05-16 00:00:00,60.0,150.0,35.0,999.0,1006.0,3.0,NI,9.7,86.3
2020-05-16 03:00:00,58.0,183.0,38.0,998.0,1005.0,3.0,NI,9.8,86.1
2020-05-16 06:00:00,55.0,215.0,40.0,997.0,1004.0,3.0,NI,9.9,85.9
2020-05-16 09:00:00,53.0,218.0,45.0,995.0,1004.0,3.0,NI,10.1,85.9
2020-05-16 12:00:00,50.0,220.0,50.0,992.0,1004.0,3.0,NI,10.3,86.0
2020-05-16 15:00:00,43.0,208.0,53.0,990.0,1004.0,3.0,NI,10.5,86.1
2020-05-16 18:00:00,35.0,195.0,55.0,987.0,1003.0,3.0,NI,10.7,86.1
2020-05-16 21:00:00,33.0,203.0,58.0,985.0,1002.0,3.0,NI,10.8,86.2
2020-05-17 00:00:00,30.0,210.0,60.0,982.0,1001.0,3.0,NI,11.0,86.2
2020-05-17 03:00:00,28.0,220.0,65.0,980.0,1002.0,3.0,NI,11.2,86.3
2020-05-17 06:00:00,25.0,230.0,70.0,978.0,1003.0,3.0,NI,11.4,86.3
2020-05-17 09:00:00,23.0,225.0,75.0,974.0,1003.0,3.0,NI,11.6,86.3
2020-05-17 12:00:00,20.0,220.0,80.0,970.0,1003.0,3.0,NI,11.8,86.4
2020-05-17 15:00:00,18.0,223.0,100.0,951.0,1003.0,3.0,NI,12.1,86.5
2020-05-17 18:00:00,15.0,225.0,120.0,932.0,1002.0,3.0,NI,12.5,86.6
2020-05-17 21:00:00,13.0,218.0,125.0,926.0,1001.0,3.0,NI,12.8,86.5
2020-05-18 00:00:00,10.0,210.0,130.0,919.0,999.0,3.0,NI,13.1,86.4
2020-05-18 03:00:00,10.0,205.0,135.0,915.0,999.0,3.0,NI,13.2,86.3
2020-05-18 06:00:00,10.0,200.0,140.0,911.0,999.0,3.0,NI,13.4,86.2
2020-05-18 09:00:00,10.0,190.0,143.0,906.0,998.0,3.0,NI,13.7,86.3
2020-05-18 12:00:00,10.0,180.0,145.0,901.0,997.0,3.0,NI,14.1,86.4
2020-05-18 15:00:00,10.0,193.0,143.0,906.0,999.0,3.0,NI,14.4,86.5
2020-05-18 18:00:00,10.0,205.0,140.0,910.0,1000.0,3.0,NI,14.8,86.6
2020-05-18 21:00:00,11.0,208.0,133.0,918.0,1000.0,3.0,NI,15.1,86.7
2020-05-19 00:00:00,12.0,210.0,125.0,925.0,999.0,3.0,NI,15.5,86.8
2020-05-19 03:00:00,11.0,210.0,118.0,933.0,1000.0,3.0,NI,16.0,86.9
2020-05-19 06:00:00,10.0,210.0,110.0,941.0,1000.0,3.0,NI,16.5,87.0
2020-05-19 09:00:00,10.0,195.0,108.0,944.0,1000.0,3.0,NI,16.9,87.1
2020-05-19 12:00:00,10.0,180.0,105.0,946.0,1000.0,3.0,NI,17.3,87.1
2020-05-19 15:00:00,10.0,190.0,105.0,946.0,1000.0,3.0,NI,17.8,87.1
2020-05-19 18:00:00,10.0,200.0,105.0,945.0,999.0,3.0,NI,18.3,87.2
2020-05-19 21:00:00,10.0,195.0,103.0,946.0,998.0,3.0,NI,18.7,87.3
2020-05-20 00:00:00,10.0,190.0,100.0,947.0,997.0,3.0,NI,19.2,87.5
2020-05-20 03:00:00,10.0,178.0,98.0,950.0,997.0,3.0,NI,19.8,87.7
2020-05-20 06:00:00,10.0,165.0,95.0,953.0,997.0,3.0,NI,20.5,87.9
2020-05-20 09:00:00,10.0,160.0,95.0,954.0,997.0,3.0,NI,21.3,88.1
2020-05-20 12:00:00,10.0,155.0,95.0,954.0,997.0,3.0,NI,22.2,88.3
2020-05-20 15:00:00,10.0,168.0,83.0,964.0,999.0,3.0,NI,23.0,88.7
2020-05-20 18:00:00,10.0,180.0,70.0,974.0,1000.0,3.0,NI,23.7,89.1
2020-05-20 21:00:00,10.0,180.0,60.0,979.0,1000.0,3.0,NI,24.5,89.6
2020-05-21 00:00:00,10.0,180.0,50.0,984.0,1000.0,3.0,NI,25.2,90.1
2020-05-21 03:00:00,18.0,180.0,40.0,992.0,1000.0,3.0,NI,25.9,90.7
2020-05-21 06:00:00,25.0,180.0,30.0,1000.0,1000.0,3.0,NI,26.5,91.4
